作目,トウモロコシ,大麦,水稲,作目4,作目5
10a収量(kg),4000,450,520,,
kg単価（円）,21,150,333,,
10a販売額（円）,84000,67500,173160,–,–
10aその他収入（円）,3500,3500,0,,
10a収入計,87500,71000,173160,–,–

10a資材費（円）,6500,5891,7850,,
10a作業委託費（円）,0,,2350,,
10aその他変動費（円）,0,,10,,
10a変動費計（円）,6500,5891,10210,–,–
10a限界利益（円）,81000,65109,162950,–,–
限界利益率,92.6%,91.7%,94.1%,–,–

面積（a）,20,20,200,,
収入,"175,000","142,000","3,463,200",–,–
変動費計（円）,"13,000","11,782","204,200",–,–
限界利益（円）,"162,000","130,218","3,259,000",–,–
限界利益率(再掲),92.6%,91.7%,94.1%,–,–

人件費（円）,56200
減価償却費（円）,103669
支払地代（円）,0
その他固定費（円）,0
固定費計（円）,"159,869"

販売額（円）,"3,766,200"
その他収入（円）,"14,000"
収入（円）,"3,780,200"
変動費（円）,"228,982"
限界利益（円）,"3,551,218"
費用（円）,"388,851"
利益（円）,"3,391,349"
損益分岐点の収入,"170,177"
